"","names","pts","ast","reb","wins","total_games","win_pct","year"
"319","Mo Bamba",6,0.909090909090909,3.54545454545455,3,11,0.272727272727273,2023
"320","Monte Morris",9.18181818181818,4.81818181818182,3.63636363636364,5,11,0.454545454545455,2023
"321","Montrezl Harrell",4,0.5,2.1,4,10,0.4,2023
"322","Moses Brown",3,0,1.66666666666667,2,6,0.333333333333333,2023
"323","Moses Moody",6.18181818181818,0.454545454545455,2.18181818181818,4,11,0.363636363636364,2023
"324","Moussa Diabate",1.5,0.5,1,0,2,0,2023
"325","Myles Turner",17.6666666666667,1.66666666666667,8.5,3,6,0.5,2023
"326","Naji Marshall",7.63636363636364,1.45454545454545,3.18181818181818,6,11,0.545454545454545,2023
"327","Nassir Little",6.09090909090909,1.09090909090909,2.45454545454545,8,11,0.727272727272727,2023
"328","Nathan Knight",0.6,0,1,2,5,0.4,2023
"329","Naz Reid",8.44444444444444,0.333333333333333,2.66666666666667,3,9,0.333333333333333,2023
"330","Nerlens Noel",2.75,0.75,3.75,0,4,0,2023
"331","Nic Claxton",12.1666666666667,1.25,9,5,12,0.416666666666667,2023
"332","Nick Richards",9.66666666666667,0.916666666666667,6.41666666666667,3,12,0.25,2023
"333","Nickeil Alexander-Walker",3.25,1.25,0.75,6,8,0.75,2023
